Kategori,Başlık,İçerik,Tarih
Eğitim/Öğretim,Bitirme tezi sunumları,Bitirme tezi sunumları gelecek hafta başlayacaktır. Tüm öğrencilere başarılar dilerim.,2025-10-31 22:18:22
Eğitim/Öğretim,Ders notları ve ödevler hakkında,"Merhaba, ders notları ve ödevler ile ilgili tüm sorularınızı bana e-posta ile iletebilirsiniz.",2025-10-31 22:18:22
Kişisel,Haftasonu planı ne yapıyoruz?,"Selam, bu haftasonu için bir şeyler düşünelim diyorum. Senin aklında bir şey var mı? Belki beraber bir kahve içeriz?",2025-10-31 22:18:39
Kişisel,Doğum günün kutlu olsun!,"Canım arkadaşım, doğum günün kutlu olsun! Nice mutlu ve sağlıklı yıllara. En kısa zamanda görüşelim.",2025-10-31 22:18:39
Kişisel,Kitap önerisi,"Merhaba, sana bir kitap önermek istedim. Adı 'Körlük', çok etkileyici bir roman. Okumanı tavsiye ederim.",2025-10-31 22:18:39
Kişisel,Fotoğrafları göndereyim mi?,Dün akşamki eğlencenin fotoğraflarını sana da göndereyim mi? Çok güzel kareler yakaladık!,2025-10-31 22:18:39
Kişisel,Tatile çıkıyor musun?,"Merhaba, yaz tatili planların nasıl gidiyor? Bir yerlere gitmeyi düşünüyor musun? Belki beraber bir şeyler organize ederiz.",2025-10-31 22:18:39
Kişisel,"Yeni tarif denedim, süper oldu!","Selam, geçen gün yeni bir yemek tarifi denedim, inanılmaz lezzetli oldu. En kısa zamanda sana da yapmalıyım!",2025-10-31 22:18:39
Kişisel,Konser bileti aldım!,"Merhaba, geçen hafta bahsettiğimiz konsere bilet aldım. Sen de gelmek ister misin? Haber verirsen senin için de ayırayım.",2025-10-31 22:18:39
Kişisel,Yardıma ihtiyacın olursa haber ver.,"Selam, yoğun olduğunu biliyorum. Bir şeye ihtiyacın olursa çekinmeden haber verebilirsin. Elimden geleni yaparım.",2025-10-31 22:18:39
Kişisel,Akşam yemeğine ne dersin?,"Merhaba, bu akşam yemeğe çıkmaya ne dersin? Uzun zamandır görüşemedik, biraz sohbet ederiz.",2025-10-31 22:18:39
Kişisel,Oyun oynamaya gelebilir miyim?,"Selam, boş musun? Eğer boşsan, birazdan oyun oynamaya gelebilir miyim? Çok sıkıldım da.",2025-10-31 22:18:39
Kişisel,Haftaya görüşelim mi?,"Merhaba, önümüzdeki hafta bir ara görüşebilir miyiz? Konuşmamız gereken birkaç şey var.",2025-10-31 22:18:39
Kişisel,Kargoyu teslim aldın mı?,"Selam, sana gönderdiğim kargoyu teslim aldın mı? Umarım beğenirsin.",2025-10-31 22:18:39
Kişisel,Bana bir şey sormuştun sanırım.,"Merhaba, sanki bana bir şey soracaktın, unuttun mu? Ben hatırlatayım dedim.",2025-10-31 22:18:39
Kişisel,Yeni bir diziye başladım!,"Selam, sana yeni bir dizi önereceğim. 'The Queen's Gambit' çok iyi, kesin izlemelisin!",2025-10-31 22:18:39
Kişisel,"Köpeğim hasta oldu, veteriner önerin var mı?","Merhaba, köpeğim biraz rahatsızlandı. Bildiğin iyi bir veteriner var mı acaba?",2025-10-31 22:18:39
Kişisel,Sinemaya gidelim mi?,"Selam, bu hafta sonu yeni çıkan filmlerden birine gitmeye ne dersin? Birlikte eğleniriz.",2025-10-31 22:18:39
Kişisel,Pazartesi görüşürüz.,"Merhaba, haftaya pazartesi görüşmek üzere. Şimdiden iyi hafta sonları dilerim.",2025-10-31 22:18:39
Kişisel,Eski günleri özledim.,"Selam, eski günleri ne kadar özledim. Bir araya gelip o günleri yad edelim mi?",2025-10-31 22:18:39
Kişisel,Sana ulaşamadım.,"Merhaba, seni aradım ama ulaşamadım. Bir sorun mu var? En kısa sürede beni ararsan sevinirim.",2025-10-31 22:18:39
Kişisel,Yeni hobiler arıyorum.,"Selam, yeni hobiler edinmek istiyorum. Senin bir önerin var mı? Belki beraber bir şeyler yapabiliriz.",2025-10-31 22:18:39
Abonelik/Fatura,"Yeni aboneliğiniz başladı, hoş geldiniz!",Merhaba! Premium üyeliğiniz aktifleşti. Artık tüm ayrıcalıklarımızdan faydalanabilirsiniz. İyi eğlenceler!,2025-10-31 22:19:14
Abonelik/Fatura,Aylık dergi aboneliğiniz için hatırlatma,"Merhaba, aylık dergi aboneliğinizin yenilenme tarihi yaklaşıyor. Kredi kartı bilgileriniz güncel mi kontrol etmenizi rica ederiz.",2025-10-31 22:19:14
Abonelik/Fatura,Üyelik avantajlarından yararlanmaya devam edin!,"Sevgili [Kullanıcı Adı], üyeliğinizin bitmesine 1 hafta kaldı. Kaçırmamanız için hatırlatmak istedik.",2025-10-31 22:19:14
Abonelik/Fatura,Kampanya: Yıllık abonelikte büyük indirim!,Yıllık abonelik fırsatını kaçırmayın! Sadece bu hafta sonuna özel %30 indirim sizi bekliyor.,2025-10-31 22:19:14
Abonelik/Fatura,Hoş geldin hediyesi: İlk ay ücretsiz!,Yeni üye olduğunuz için çok teşekkür ederiz! İlk ay tüm özelliklerimiz ücretsiz. Keyfini çıkarın!,2025-10-31 22:19:14
Abonelik/Fatura,"Aboneliğinizi yükseltin, daha fazlasını keşfedin!",Standart aboneliğiniz ile sınırlı sayıda içeriğe erişiyorsunuz. Premium'a geçerek tüm arşivimize ulaşabilirsiniz.,2025-10-31 22:19:14
Abonelik/Fatura,Abonelik iptaliniz onaylandı,Üyeliğinizi iptal ettiğinizi üzülerek öğrendik. Tekrar görüşmek dileğiyle!,2025-10-31 22:19:14
Abonelik/Fatura,Sadık üyelerimize özel: Sürpriz indirim!,Sadık üyelerimizden olduğunuz için size özel bir indirim tanımladık. Fırsatı kaçırmayın!,2025-10-31 22:19:14
Abonelik/Fatura,Eğitim platformuna aboneliğiniz başarıyla oluşturuldu!,"Tebrikler, eğitim platformumuza hoş geldiniz! Hemen derslere başlayabilirsiniz.",2025-10-31 22:19:14
Abonelik/Fatura,Fitness salonu üyeliğinizle forma girin!,Merhaba! Fitness salonu üyeliğiniz aktifleşti. Sağlıklı günler dileriz.,2025-10-31 22:19:14
Abonelik/Fatura,Müzik platformu aboneliğinizdeki yenilikler,Yeni abonelere özel çalma listelerimiz keşfetmenizi bekliyor. İyi dinlemeler!,2025-10-31 22:19:14
Abonelik/Fatura,Sinema kulübü üyeliği: Bu ayki filmler,Sinema kulübümüzün bu ayki programı belli oldu. Biletlerinizi erkenden ayırtmayı unutmayın!,2025-10-31 22:19:14
Abonelik/Fatura,Kitap kulübü üyeliğiniz: Yeni kitap seçimi,Kitap kulübümüzün bu ayki kitabı oylamaya sunuldu. Oy kullanmayı unutmayın!,2025-10-31 22:19:14
Abonelik/Fatura,Oyun aboneliğinizle sınırsız eğlenceye hazır olun!,Yeni çıkan tüm oyunlara ücretsiz erişiminiz başladı. İyi oyunlar!,2025-10-31 22:19:14
Abonelik/Fatura,Gazete aboneliğiniz: Güncel haberlere ulaşın,Güncel haberler ve özel içerikler artık cebinizde! Gazete aboneliğiniz başladı.,2025-10-31 22:19:14
Abonelik/Fatura,Sanat kursu üyeliğiniz: Yaratıcılığınızı keşfedin!,Sanat kursu üyeliğiniz aktifleşti. İlk dersiniz için kayıt olmayı unutmayın.,2025-10-31 22:19:14
Abonelik/Fatura,Abonelik şartlarımızda değişiklik oldu,Abonelik sözleşmemizde bazı güncellemeler yaptık. Lütfen gözden geçiriniz.,2025-10-31 22:19:14
Abonelik/Fatura,Gizlilik politikamız güncellendi,Gizliliğiniz bizim için önemli. Yeni gizlilik politikamızı okumanızı rica ederiz.,2025-10-31 22:19:14
Abonelik/Fatura,"Referans koduyla arkadaşlarınızı davet edin, kazanın!",Arkadaşlarınızı davet ederek hem siz hem de arkadaşlarınız indirim kazanın!,2025-10-31 22:19:14
Abonelik/Fatura,"Üyelik profilinizi güncelleyin, size özel içerikler görün!",Profilinizi güncelleyerek ilgi alanlarınıza göre öneriler alabilirsiniz.,2025-10-31 22:19:14
Eğitim/Öğretim,Ödev için kaynak önerisi,"Merhaba, coğrafya ödevi için kaynak arıyordum, senin bildiğin iyi bir site var mı acaba?",2025-10-31 22:19:47
Eğitim/Öğretim,Sınav notlarını kontrol ettin mi?,"Selam, matematik sınavı notları açıklanmış. Bakabildin mi, nasıl geçti?",2025-10-31 22:19:47
Eğitim/Öğretim,Proje grubu toplantısı ayarlayalım mı?,"Merhaba, proje için ne zaman bir araya gelebiliriz? Haftaya uygun musun?",2025-10-31 22:19:47
Eğitim/Öğretim,Ders notlarını paylaşır mısın?,"Selam, dün derse gelemedim. Notlarını benimle paylaşabilirsen çok sevinirim.",2025-10-31 22:19:47
Eğitim/Öğretim,Seminer için konu önerilerin?,"Merhaba, seminer için konu bulmakta zorlanıyorum. Senin aklında bir şey var mı?",2025-10-31 22:19:47
Eğitim/Öğretim,Kütüphanede buluşalım mı?,"Selam, öğleden sonra kütüphaneye gideceğim. Çalışmak istersen birlikte takılabiliriz.",2025-10-31 22:19:47
Eğitim/Öğretim,Staj başvurusu için tavsiye mektubu,"Merhaba hocam, staj başvurum için sizden bir tavsiye mektubu rica edebilir miyim?",2025-10-31 22:19:47
Eğitim/Öğretim,Sunum alıştırması yapalım mı?,"Selam, sunum provası yapmak için müsait misin? Belki birbirimize geri bildirim verebiliriz.",2025-10-31 22:19:47
Eğitim/Öğretim,Erasmus başvurusu hakkında,"Merhaba, Erasmus'a başvurmayı düşünüyorum. Senin deneyimlerin nasıldı, biraz bahseder misin?",2025-10-31 22:19:47
Eğitim/Öğretim,Online derse katılabildin mi?,"Selam, online dersin linki bir türlü açılmadı. Sen bağlanabildin mi?",2025-10-31 22:19:47
Eğitim/Öğretim,Bitirme tezi için danışman seçimi,"Merhaba, bitirme tezi için danışman seçme konusunda kararsızım. Hocalar hakkında bilgin var mı?",2025-10-31 22:19:47
Eğitim/Öğretim,Yaz okuluna kayıtlar başladı mı?,"Selam, yaz okuluna kayıtlar ne zaman başlıyor biliyor musun? Bir ders almayı düşünüyorum.",2025-10-31 22:19:47
Eğitim/Öğretim,Proje teslim tarihi uzadı mı?,"Merhaba, proje teslim tarihinin uzadığına dair bir duyum aldım. Doğru mu acaba?",2025-10-31 22:19:47
Eğitim/Öğretim,Ders çalışmak için bir araya gelelim mi?,"Selam, bu hafta sonu ders çalışmak için buluşalım mı? Belki bir şeyler yiyip içeriz.",2025-10-31 22:19:47
Eğitim/Öğretim,Yabancı dil kursu önerisi,"Merhaba, İngilizce kursu arıyorum. Senin bildiğin iyi bir yer var mı?",2025-10-31 22:19:47
Eğitim/Öğretim,Mezuniyet balosu ne zaman?,"Selam, mezuniyet balosuyla ilgili bir bilgi var mı? Tarihi belli oldu mu?",2025-10-31 22:19:47
Eğitim/Öğretim,Burs başvurusu için son gün ne zaman?,"Merhaba, burs başvurusunun son gününü hatırlıyor musun? Kaçırmayalım.",2025-10-31 22:19:47
Eğitim/Öğretim,Etkinlik için gönüllü arıyorlar,"Selam, okulda bir etkinlik için gönüllü arıyorlarmış. İlgilenir misin?",2025-10-31 22:19:47
Eğitim/Öğretim,Ders kitabı nereden bulunur?,"Merhaba, şu dersteki kitabı bir türlü bulamıyorum. Nereden temin edebilirim?",2025-10-31 22:19:47
Eğitim/Öğretim,Mentorluk programına başvurdun mu?,"Selam, mentorluk programına başvurdun mu? Bence çok faydalı olabilir.",2025-10-31 22:19:47
Sosyal Medya,Yeni profil fotoğrafım nasıl olmuş?,Selam! Az önce yeni bir profil fotoğrafı yükledim. Sence nasıl olmuş? Yorumlarını bekliyorum!,2025-10-31 22:20:21
Sosyal Medya,Instagram'da bir gönderi paylaştım!,Herkese merhaba! Bugün Instagram'da çok güzel bir gönderi paylaştım. Bir göz atsanız sevinirim.,2025-10-31 22:20:21
Sosyal Medya,Twitter'da ilginç bir tartışmaya denk geldim,Twitter'da okuduğum bir tartışma çok ilgimi çekti. Senin de fikrini merak ediyorum. Sana linkini atayım mı?,2025-10-31 22:20:21
Sosyal Medya,Facebook'ta eski bir arkadaşımı buldum!,"İnanır mısın, Facebook'ta ilkokuldan bir arkadaşımı buldum! Çok heyecanlandım, hemen ekledim.",2025-10-31 22:20:21
Sosyal Medya,Dün akşamki canlı yayın çok eğlenceliydi!,"Dün akşamki canlı yayını kaçırdıysan mutlaka tekrarını izlemelisin. Çok güldük, çok eğlendik!",2025-10-31 22:20:21
Sosyal Medya,"TikTok'ta yeni bir akım başladı, gördün mü?",TikTok'ta yine yeni bir akım başlamış. Çok komik videolar var. Sen de denedin mi?,2025-10-31 22:20:21
Sosyal Medya,Linkedln'de ilginç bir makale okudum.,Linkedln'de okuduğum bir makale kariyerim için çok faydalı olacak gibi duruyor. Belki sana da ilgini çeker.,2025-10-31 22:20:21
Sosyal Medya,Sosyal medyada detoks yapmaya karar verdim,"Biraz sosyal medyadan uzaklaşmaya ihtiyacım var. Bir süre detoks yapmaya karar verdim, görüşürüz!",2025-10-31 22:20:21
Sosyal Medya,Yeni bir sosyal medya hesabı açtım!,Artık [Yeni Platform Adı]'dayım! Beni takip etmek istersen kullanıcı adım [Kullanıcı Adı].,2025-10-31 22:20:21
Sosyal Medya,"Anket yaptım, katılır mısın?",Instagram hikayemde kısa bir anket başlattım. Katılıp fikrini belirtirsen çok sevinirim!,2025-10-31 22:20:21
Sosyal Medya,Sosyal medyada gördüğüm bir tarifi denedim.,Dün sosyal medyada gördüğüm bir tarifi denedim. Sonuç harika oldu! Fotoğrafını sana da göndereyim mi?,2025-10-31 22:20:21
Sosyal Medya,Sosyal medya hesabı önerisi alabilir miyim?,"Takip etmeye değer, ilginç sosyal medya hesapları önerin var mı? Yeni şeyler keşfetmek istiyorum.",2025-10-31 22:20:21
Sosyal Medya,Sosyal medya yarışmasına katıldım!,Bir sosyal medya yarışmasına katıldım. Eğer beğenirsen gönderime oy verebilir misin?,2025-10-31 22:20:21
Sosyal Medya,Sosyal medyada gördüğüm bir haber şok etti!,Sosyal medyada okuduğum bir haber beni çok üzdü. Seninle de paylaşmak istedim.,2025-10-31 22:20:21
Sosyal Medya,Sosyal medya gruplarına üye olalım mı?,Birlikte aynı ilgi alanlarına sahip olduğumuz sosyal medya gruplarına üye olalım mı? Ne dersin?,2025-10-31 22:20:21
Sosyal Medya,Sosyal medyada bir etkinlik organize edelim!,Sosyal medya üzerinden bir etkinlik organize etmeye ne dersin? Eğlenceli bir şeyler yapabiliriz.,2025-10-31 22:20:21
Sosyal Medya,Sosyal medyada reklam gördün mü?,Son zamanlarda sosyal medyada garip reklamlar çıkmaya başladı. Sende de durum aynı mı?,2025-10-31 22:20:21
Sosyal Medya,Sosyal medyadan öğrendiğim bir bilgiyi seninle paylaşmak istiyorum.,"Sosyal medyada çok ilginç bir bilgiye rastladım. Seninle de paylaşmak istedim, belki işine yarar.",2025-10-31 22:20:21
Sosyal Medya,Sosyal medya hesabım çalındı!,"Maalesef sosyal medya hesabım çalındı. Şimdilik yeni bir hesap açtım, haberin olsun.",2025-10-31 22:20:21
Sosyal Medya,Sosyal medyada favori emojin ne?,"Merak ettim, senin sosyal medyada en çok kullandığın emoji hangisi? Benimki kesinlikle 😂.",2025-10-31 22:20:21
Abonelik/Fatura,Şubat Ayı Elektrik Faturanız Hakkında,"Merhaba, Şubat ayına ait elektrik faturanız ekte yer almaktadır. Son ödeme tarihi 15 Mart'tır. Bilgilerinize sunarız.",2025-10-31 22:20:51
Abonelik/Fatura,Aralık Ayı İnternet Faturanız,Aralık ayına ait internet faturanız ektedir. Lütfen son ödeme tarihini geçirmeden ödeme yapınız. İyi günler dileriz.,2025-10-31 22:20:51
Abonelik/Fatura,Proje [Proje Adı] - 1. Etap Faturası,"Merhaba, [Proje Adı] projesinin 1. etabına ait faturanız ekte yer almaktadır. Ödeme için gerekli bilgileri de fatura üzerinde bulabilirsiniz.",2025-10-31 22:20:51
Abonelik/Fatura,Temizlik Hizmetleri Faturası (Ekim 2024),"Merhaba, Ekim ayına ait temizlik hizmetleri faturanız ilişikte sunulmuştur. Faturayı inceleyerek ödemenizi gerçekleştirmeniz rica olunur.",2025-10-31 22:20:51
Abonelik/Fatura,[Şirket Adı] - Nisan Ayı Faturası,"Merhaba, Nisan ayı faturanız ektedir. Herhangi bir sorunuz olursa lütfen bizimle iletişime geçmekten çekinmeyin.",2025-10-31 22:20:51
Abonelik/Fatura,Kargo Faturası - [Kargo Takip Numarası],"Merhaba, [Kargo Takip Numarası] ile gönderdiğiniz kargoya ait fatura ektedir. İyi günler dileriz.",2025-10-31 22:20:51
Abonelik/Fatura,Danışmanlık Hizmeti Faturası,"Merhaba, danışmanlık hizmetlerimiz karşılığında hazırlanan fatura ekte yer almaktadır. Ödeme konusunda yardıma ihtiyacınız olursa lütfen bildirin.",2025-10-31 22:20:51
Abonelik/Fatura,Yazılım Lisans Yenileme Faturası,"Merhaba, yazılım lisansınızın yenilenmesine ait fatura ekte bulunmaktadır. Lisansınızın kesintisiz devamı için ödemenizi yapmanız önemlidir.",2025-10-31 22:20:51
Abonelik/Fatura,Eğitim Materyalleri Faturası,"Merhaba, eğitim materyallerine ait faturanız ekte gönderilmiştir. Faturada belirtilen son ödeme tarihine dikkat etmenizi rica ederiz.",2025-10-31 22:20:51
Abonelik/Fatura,Toplantı Odası Kiralama Faturası,"Merhaba, toplantı odası kiralama hizmetinize ait fatura ekte sunulmuştur. İlgili ödemeyi en kısa sürede yapmanızı rica ederiz.",2025-10-31 22:20:51
Abonelik/Fatura,Hosting Hizmeti Faturası - [Alan Adı],"Merhaba, [Alan Adı] adresine ait hosting hizmeti faturanız ekte yer almaktadır. Teşekkür ederiz.",2025-10-31 22:20:51
Abonelik/Fatura,Reklam Kampanyası Faturası - [Kampanya Adı],"Merhaba, [Kampanya Adı] reklam kampanyası faturanız ekte sunulmuştur. Başarılı bir kampanya geçirmeniz dileğiyle.",2025-10-31 22:20:51
Abonelik/Fatura,Web Tasarım Faturası - Revize,"Merhaba, web tasarım projenize ait revize edilmiş fatura ekte bulunmaktadır. Herhangi bir sorunuz olursa lütfen bizimle iletişime geçin.",2025-10-31 22:20:51
Abonelik/Fatura,Ofis Malzemeleri Faturası,"Merhaba, ofis malzemeleri siparişinizin faturası ektedir. İyi çalışmalar dileriz.",2025-10-31 22:20:51
Abonelik/Fatura,Etkinlik Bileti Faturası,"Merhaba, etkinliğimize ait bilet faturanız ekte sunulmuştur. Etkinlikte görüşmek üzere!",2025-10-31 22:20:51
Abonelik/Fatura,Kırtasiye Malzemeleri Faturası,"Merhaba, satın almış olduğunuz kırtasiye malzemelerinin faturası ekte yer almaktadır. İyi kullanımlar!",2025-10-31 22:20:51
Abonelik/Fatura,Mobil Uygulama Geliştirme Faturası - [Uygulama Adı],"Merhaba, [Uygulama Adı] mobil uygulama geliştirme faturanız ekte gönderilmiştir. Uygulamanızın başarılı olması dileğiyle.",2025-10-31 22:20:51
Abonelik/Fatura,Çiçek Siparişi Faturası - [Sipariş Numarası],"Merhaba, [Sipariş Numarası] numaralı çiçek siparişinize ait fatura ekte yer almaktadır. Sevdiklerinize mutluluklar dileriz.",2025-10-31 22:20:51
Abonelik/Fatura,Seyahat Acentası - Tur Faturası,"Merhaba, satın aldığınız tur paketine ait fatura ektedir. Unutulmaz bir tatil geçirmeniz dileğiyle.",2025-10-31 22:20:51
Abonelik/Fatura,Kiralık Araç Faturası,"Merhaba, kiralamış olduğunuz araca ait fatura ekte bulunmaktadır. Güvenli sürüşler dileriz.",2025-10-31 22:20:51
Güvenlik/Uyarı,Su Kaynakları: Gereksiz Tüketimden Kaçının!,Su kaynaklarını korumak için gereksiz su tüketiminden kaçının. Muslukları açık bırakmamaya özen gösterin.,2025-10-31 22:21:19
Eğitim/Öğretim,Mezuniyet Töreni Tarihi Belirlendi,Mezuniyet törenimizin tarihi 15 Haziran olarak belirlenmiştir. Detaylı bilgiler daha sonra paylaşılacaktır.,2025-10-31 22:21:46
Abonelik/Fatura,Aralık Ayı Elektrik Faturanız Hazır,"Merhaba, Aralık ayı elektrik faturanız sistemde oluşturulmuştur. Faturanıza online olarak ulaşabilir ve ödeme işlemlerinizi gerçekleştirebilirsiniz.",2025-10-31 22:22:13
Abonelik/Fatura,Ocak Ayı İnternet Faturası Bildirimi,"Sayın abonemiz, Ocak ayı internet faturanız ektedir. Son ödeme tarihi geçmeden ödeme yapmanızı rica ederiz.",2025-10-31 22:22:13
Abonelik/Fatura,Su Faturası Ödeme Hatırlatması,Su faturanızın son ödeme tarihinin yaklaştığını hatırlatmak isteriz. Faturanızı online kanallarımızdan kolayca ödeyebilirsiniz.,2025-10-31 22:22:13
